date;dr
30.06.1967;1
31.07.1967;
31.08.1967;
30.09.1967;1.22
31.10.1967;
30.11.1967;
31.12.1967;2.38
31.01.1968;
29.02.1968;
31.03.1968;1.3
30.04.1968;
31.05.1968;
30.06.1968;1.32
31.07.1968;
31.08.1968;
30.09.1968;1.33
31.10.1968;
30.11.1968;1.26
31.12.1968;1.29
31.01.1969;
28.02.1969;1.29
31.03.1969;
30.04.1969;
31.05.1969;1.22
30.06.1969;
31.07.1969;
31.08.1969;2.22
30.09.1969;
31.10.1969;
30.11.1969;2.92
31.12.1969;1.9
31.01.1970;
28.02.1970;4.14
31.03.1970;
30.04.1970;
31.05.1970;4.68
30.06.1970;
31.07.1970;
31.08.1970;3.83
30.09.1970;
31.10.1970;
30.11.1970;3.36
31.12.1970;3.98
31.01.1971;2.34
28.02.1971;1.97
31.03.1971;
30.04.1971;
31.05.1971;0.47
30.06.1971;
31.07.1971;
31.08.1971;0.67
30.09.1971;
31.10.1971;
30.11.1971;0.33
31.12.1971;0.92
31.01.1972;
29.02.1972;-0.17
31.03.1972;
30.04.1972;
31.05.1972;-0.43
30.06.1972;
31.07.1972;
31.08.1972;-0.75
30.09.1972;
31.10.1972;
30.11.1972;0.06
31.12.1972;-0.34
31.01.1973;
28.02.1973;0.32
31.03.1973;
30.04.1973;
31.05.1973;0.88
30.06.1973;
31.07.1973;2.57
31.08.1973;3.24
30.09.1973;
31.10.1973;
30.11.1973;3.4
31.12.1973;2.22
31.01.1974;
28.02.1974;1.73
31.03.1974;
30.04.1974;
31.05.1974;0.77
30.06.1974;
31.07.1974;
31.08.1974;0.83
30.09.1974;
31.10.1974;
30.11.1974;1.15
31.12.1974;1.19
31.01.1975;
28.02.1975;0
31.03.1975;-0.84
30.04.1975;-1.4
31.05.1975;-1.6
30.06.1975;-2.16
31.07.1975;-2.08
31.08.1975;-2.2
30.09.1975;-2.49
31.10.1975;-1.98
30.11.1975;-1.56
31.12.1975;-1.48
31.01.1976;-1.52
29.02.1976;-1.69
31.03.1976;-1.59
30.04.1976;-1.53
31.05.1976;-1.2
30.06.1976;-0.55
31.07.1976;-0.2
31.08.1976;-0.49
30.09.1976;0.12
31.10.1976;0.38
30.11.1976;0.34
31.12.1976;0.28
31.01.1977;0.05
28.02.1977;0.26
31.03.1977;0.18
30.04.1977;0.24
31.05.1977;-0.1
30.06.1977;-0.36
31.07.1977;-0.37
31.08.1977;-0.21
30.09.1977;-0.26
31.10.1977;-0.03
30.11.1977;0
31.12.1977;0.09
31.01.1978;0.08
28.02.1978;-0.16
31.03.1978;-0.23
30.04.1978;-0.13
31.05.1978;0.08
30.06.1978;0.23
31.07.1978;0.3
31.08.1978;0.55
30.09.1978;0.76
31.10.1978;1.01
30.11.1978;0.9
31.12.1978;0.82
31.01.1979;0.32
28.02.1979;0.46
31.03.1979;0.42
30.04.1979;0.81
31.05.1979;0.97
30.06.1979;1.15
31.07.1979;0.66
31.08.1979;0.78
30.09.1979;0.87
31.10.1979;1.28
30.11.1979;2.03
31.12.1979;2.11
31.01.1980;2.28
29.02.1980;1.62
31.03.1980;1.97
30.04.1980;2.45
31.05.1980;2.44
30.06.1980;2.49
31.07.1980;2.92
31.08.1980;2.4
30.09.1980;2.52
31.10.1980;2.66
30.11.1980;2.55
31.12.1980;2.56
31.01.1981;1.82
28.02.1981;2.65
31.03.1981;3.69
30.04.1981;3.83
31.05.1981;4.17
30.06.1981;4.31
31.07.1981;3.81
31.08.1981;3.72
30.09.1981;3.14
31.10.1981;2.5
30.11.1981;2.43
31.12.1981;2.36
31.01.1982;2.35
28.02.1982;2.49
31.03.1982;3.11
30.04.1982;3.14
31.05.1982;2.39
30.06.1982;1.67
31.07.1982;2.33
31.08.1982;2.66
30.09.1982;2.1
31.10.1982;1.68
30.11.1982;1.31
31.12.1982;0.72
31.01.1983;0.64
28.02.1983;0.79
31.03.1983;0.65
30.04.1983;0.16
31.05.1983;0.65
30.06.1983;1.47
31.07.1983;1.44
31.08.1983;1.09
30.09.1983;1.38
31.10.1983;2.05
30.11.1983;2.24
31.12.1983;2.36
31.01.1984;2.12
29.02.1984;1.89
31.03.1984;1.62
30.04.1984;1.72
31.05.1984;1.97
