"","lGz","age","source","Sources"
"1",13.04,63,"1model","acceptable model parameter examples"
"2",12.002,68,"1model","acceptable model parameter examples"
"3",13.312,73,"1model","acceptable model parameter examples"
"4",13.178,78,"1model","acceptable model parameter examples"
"5",7.338,83,"1model","acceptable model parameter examples"
"6",11.318,88,"1model","acceptable model parameter examples"
"7",8.66800000000001,93,"1model","acceptable model parameter examples"
"8",7.16800000000001,98,"1model","acceptable model parameter examples"
"9",9.576,103,"1model","acceptable model parameter examples"
"10",13.154,63,"2model","acceptable model parameter examples"
"11",12.004,68,"2model","acceptable model parameter examples"
"12",13.888,73,"2model","acceptable model parameter examples"
"13",14.152,78,"2model","acceptable model parameter examples"
"14",7.64799999999999,83,"2model","acceptable model parameter examples"
"15",11.996,88,"2model","acceptable model parameter examples"
"16",8.436,93,"2model","acceptable model parameter examples"
"17",6.75,98,"2model","acceptable model parameter examples"
"18",9.90999999999999,103,"2model","acceptable model parameter examples"
"19",12.632,63,"3model","acceptable model parameter examples"
"20",10.76,68,"3model","acceptable model parameter examples"
"21",12.95,73,"3model","acceptable model parameter examples"
"22",13.624,78,"3model","acceptable model parameter examples"
"23",7.35600000000001,83,"3model","acceptable model parameter examples"
"24",12.086,88,"3model","acceptable model parameter examples"
"25",8.664,93,"3model","acceptable model parameter examples"
"26",7.036,98,"3model","acceptable model parameter examples"
"27",10.186,103,"3model","acceptable model parameter examples"
"28",13.224,63,"4model","acceptable model parameter examples"
"29",11.916,68,"4model","acceptable model parameter examples"
"30",13.27,73,"4model","acceptable model parameter examples"
"31",13.104,78,"4model","acceptable model parameter examples"
"32",7.63199999999999,83,"4model","acceptable model parameter examples"
"33",11.114,88,"4model","acceptable model parameter examples"
"34",8.49200000000001,93,"4model","acceptable model parameter examples"
"35",6.996,98,"4model","acceptable model parameter examples"
"36",9.3,103,"4model","acceptable model parameter examples"
"37",12.118,63,"5model","acceptable model parameter examples"
"38",10.896,68,"5model","acceptable model parameter examples"
"39",13.846,73,"5model","acceptable model parameter examples"
"40",14.712,78,"5model","acceptable model parameter examples"
"41",7.49,83,"5model","acceptable model parameter examples"
"42",12.768,88,"5model","acceptable model parameter examples"
"43",8.328,93,"5model","acceptable model parameter examples"
"44",6.604,98,"5model","acceptable model parameter examples"
"45",9.80999999999999,103,"5model","acceptable model parameter examples"
"46",12.442,63,"6model","acceptable model parameter examples"
"47",12.58,68,"6model","acceptable model parameter examples"
"48",14.324,73,"6model","acceptable model parameter examples"
"49",14.746,78,"6model","acceptable model parameter examples"
"50",7.496,83,"6model","acceptable model parameter examples"
"51",12.26,88,"6model","acceptable model parameter examples"
"52",8.578,93,"6model","acceptable model parameter examples"
"53",6.72399999999999,98,"6model","acceptable model parameter examples"
"54",10.244,103,"6model","acceptable model parameter examples"
"55",11.898,63,"7model","acceptable model parameter examples"
"56",10.584,68,"7model","acceptable model parameter examples"
"57",13.024,73,"7model","acceptable model parameter examples"
"58",14.128,78,"7model","acceptable model parameter examples"
"59",7.216,83,"7model","acceptable model parameter examples"
"60",12.59,88,"7model","acceptable model parameter examples"
"61",8.858,93,"7model","acceptable model parameter examples"
"62",7.04799999999999,98,"7model","acceptable model parameter examples"
"63",10.782,103,"7model","acceptable model parameter examples"
"64",12.13,63,"8model","acceptable model parameter examples"
"65",11.588,68,"8model","acceptable model parameter examples"
"66",14.262,73,"8model","acceptable model parameter examples"
"67",14.87,78,"8model","acceptable model parameter examples"
"68",8.2,83,"8model","acceptable model parameter examples"
"69",12.528,88,"8model","acceptable model parameter examples"
"70",8.702,93,"8model","acceptable model parameter examples"
"71",6.92199999999999,98,"8model","acceptable model parameter examples"
"72",9.95599999999999,103,"8model","acceptable model parameter examples"
"73",12.688,63,"9model","acceptable model parameter examples"
"74",12.154,68,"9model","acceptable model parameter examples"
"75",13.542,73,"9model","acceptable model parameter examples"
"76",13.458,78,"9model","acceptable model parameter examples"
"77",7.146,83,"9model","acceptable model parameter examples"
"78",11.33,88,"9model","acceptable model parameter examples"
"79",8.59,93,"9model","acceptable model parameter examples"
"80",7,98,"9model","acceptable model parameter examples"
"81",9.41999999999999,103,"9model","acceptable model parameter examples"
"82",13.296,63,"10model","acceptable model parameter examples"
"83",11.946,68,"10model","acceptable model parameter examples"
"84",13.656,73,"10model","acceptable model parameter examples"
"85",14.188,78,"10model","acceptable model parameter examples"
"86",7.254,83,"10model","acceptable model parameter examples"
"87",12.242,88,"10model","acceptable model parameter examples"
"88",8.828,93,"10model","acceptable model parameter examples"
"89",6.99399999999999,98,"10model","acceptable model parameter examples"
"90",10.096,103,"10model","acceptable model parameter examples"
"91",15.286,63,"11model","acceptable model parameter examples"
"92",13.924,68,"11model","acceptable model parameter examples"
"93",15.072,73,"11model","acceptable model parameter examples"
"94",14.938,78,"11model","acceptable model parameter examples"
"95",7.15599999999999,83,"11model","acceptable model parameter examples"
